id,latitude,longitude,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
5189,40.79408239,-73.95613449,37F-PM-1014-03,PM,2018-10-14,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
5190,40.79485094,-73.95704377,37E-PM-1006-03,PM,2018-10-06,Adult,Gray,Ground plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
5191,40.76671781,-73.97683118,2E-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,Above ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
5192,40.76970326,-73.97572498,5D-PM-1018-05,PM,2018-10-18,Juvenile,Gray,Above ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
5193,40.79753337,-73.95931267,39B-AM-1018-01,AM,2018-10-18,,,Above ground,,False,False,False,False,False,Unknown,True,False,False,False,False,False,False,False
5194,40.7902561,-73.95657004,33H-AM-1019-02,AM,2018-10-19,Juvenile,Gray,Ground plane,,False,False,False,False,False,Wrestling with mother,False,False,False,False,False,False,False,False
5195,40.76930451,-73.97197356,6G-PM-1020-02,PM,2018-10-20,Adult,Gray,Ground plane,,True,True,False,False,False,,False,False,False,False,False,False,True,False
5196,40.7942883,-73.96026099,35C-PM-1013-03,PM,2018-10-13,,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
5197,40.77297524,-73.97707186,7B-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5198,40.79031289,-73.95964139,32E-PM-1017-14,PM,2018-10-17,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,False,True
5199,40.77621269,-73.97026765,13E-AM-1017-05,AM,2018-10-17,Adult,Gray,Above ground,On tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False
5200,40.77259088,-73.96836135,11H-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,,,False,False,False,False,True,,False,False,False,False,True,False,True,False
5201,40.79318117,-73.95412018,36H-AM-1010-02,AM,2018-10-10,Adult,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
5202,40.79173678,-73.95826943,33F-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5203,40.78297239,-73.9674286,21C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False
5204,40.77428796,-73.97225002,11D-AM-1010-03,AM,2018-10-10,Adult,Gray,Above ground,,False,False,True,False,False,Grooming,False,False,False,False,False,False,True,False
5205,40.78235077,-73.96950635,20B-PM-1013-05,PM,2018-10-13,Adult,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5206,40.79196697,-73.95321705,36I-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5207,40.77027959,-73.97686036,5C-PM-1010-09,PM,2018-10-10,Adult,Cinnamon,Ground plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
5208,40.76981248,-73.97061059,7H-AM-1006-05,AM,2018-10-06,Adult,Gray,Above ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False
5209,40.77875261,-73.97037817,16C-PM-1018-03,PM,2018-10-18,Adult,Gray,Above ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False
5210,40.7765032,-73.97039252,14E-AM-1008-23,AM,2018-10-08,Adult,Gray,Ground plane,,False,False,False,False,True,Walking,False,False,False,False,False,False,True,False
5211,40.79241733,-73.96381794,32A-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
5212,40.79138125,-73.9584071,33F-AM-1008-01,AM,2018-10-08,Adult,Gray,Ground plane,,False,False,False,False,False,Moving slowly,False,False,False,False,False,False,True,False
5213,40.77848597,-73.96711307,17F-AM-1007-07,AM,2018-10-07,Adult,Gray,Above ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False
5214,40.77649297,-73.9649866,16I-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
5215,40.77349914,-73.96706286,12I-AM-1013-01,AM,2018-10-13,Adult,Cinnamon,Ground plane,On tree roots,False,False,False,False,False,Sitting,False,False,False,False,True,False,False,True
5216,40.79085244,-73.95873659,32F-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground plane,,True,True,False,False,True,,False,False,False,False,False,False,True,False
5217,40.78673528,-73.96717867,25A-AM-1013-04,AM,2018-10-13,,Gray,Ground plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
5218,40.77695361,-73.96929433,15E-AM-1013-01,AM,2018-10-13,Adult,Gray,Ground plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
5219,40.7952446,-73.95400541,39G-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
5220,40.78686595,-73.95765302,29I-PM-1007-01,PM,2018-10-07,,Gray,Ground plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
5221,40.77118469,-73.97380333,7E-AM-1006-02,AM,2018-10-06,Adult,Gray,Ground plane,Under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False
5222,40.77989656,-73.97044027,17C-PM-1013-05,PM,2018-10-13,Adult,Gray,Ground plane,,False,False,False,True,False,Eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
5223,40.77538973,-73.97569761,10A-PM-1014-01,PM,2018-10-14,Adult,Gray,Ground plane,In b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False
5224,40.78903818,-73.9662439,28A-PM-1007-05,PM,2018-10-07,Adult,Cinnamon,Ground plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True
5225,40.78208185,-73.96431539,22F-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
5226,40.77579574,-73.97420735,12B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground plane,,False,True,False,False,False,,False,False,False,True,False,False,True,False
5227,40.7813911,-73.97161471,18A-PM-1018-01,PM,2018-10-18,Adult,Gray,Above ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
